VQ1s,,,VQ2s,,,VQ3s,,,VQ4s,,,VQ5s,,,VQ6s,,,VQ7s,,,RQ1s,,,RQ2s,,,RQ3s,,,RQ4s,,,RQ5s,,,RQ6s,,,MQ1s,,,MQ2s,,,MQ3s,,,MQ4s,,,MQ5s,,,MQ6s,,,,,,
4,,,3,,,4,,,2,,,3,,,4,,,3,,,1,,,3,,,4,,,4,,,4,,,5,,,4,,,2,,,4,,,4,,,4,,,4,,,,66,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,4,,,3,,,3,,,3,,,5,,,3,,,2,,,4,,,4,,,3,,,3,,,,45,,
4,,,2,,,3,,,4,,,3,,,4,,,5,,,-1,,,4,,,3,,,2,,,3,,,1,,,4,,,3,,,4,,,4,,,5,,,3,,,,60,,
1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,-1,,,1,,,3,,,1,,,4,,,5,,,4,,,4,,,,32,,
4,,,2,,,2,,,3,,,2,,,3,,,5,,,2,,,3,,,3,,,4,,,3,,,3,,,3,,,2,,,4,,,5,,,3,,,4,,,,60,,
4,,,2,,,3,,,2,,,3,,,4,,,4,,,0,,,2,,,2,,,2,,,2,,,4,,,4,,,2,,,1,,,4,,,2,,,3,,,,50,,
3,,,2,,,2,,,2,,,1,,,3,,,2,,,2,,,5,,,4,,,4,,,4,,,4,,,4,,,3,,,4,,,5,,,3,,,2,,,,59,,
3,,,3,,,2,,,3,,,2,,,3,,,2,,,-1,,,1,,,1,,,1,,,1,,,1,,,4,,,3,,,4,,,4,,,3,,,3,,,,43,,
4,,,3,,,2,,,2,,,3,,,3,,,2,,,0,,,5,,,4,,,3,,,4,,,4,,,4,,,3,,,2,,,4,,,4,,,1,,,,57,,
3,,,3,,,3,,,3,,,4,,,4,,,3,,,0,,,1,,,-1,,,2,,,3,,,3,,,2,,,3,,,4,,,4,,,3,,,2,,,,49,,
3,,,0,,,2,,,0,,,3,,,4,,,4,,,3,,,5,,,4,,,2,,,4,,,5,,,4,,,2,,,4,,,4,,,4,,,5,,,,62,,
4,,,2,,,3,,,2,,,3,,,2,,,2,,,0,,,3,,,1,,,3,,,1,,,2,,,4,,,3,,,2,,,4,,,3,,,2,,,,46,,
4,,,3,,,4,,,4,,,0,,,4,,,3,,,2,,,3,,,3,,,1,,,0,,,3,,,4,,,2,,,4,,,5,,,3,,,3,,,,55,,
1,,,1,,,1,,,1,,,-1,,,1,,,1,,,-1,,,1,,,-1,,,1,,,1,,,-1,,,2,,,0,,,2,,,3,,,3,,,2,,,,17,,
3,,,1,,,2,,,1,,,0,,,1,,,1,,,1,,,1,,,1,,,1,,,3,,,2,,,3,,,1,,,4,,,5,,,2,,,4,,,,37,,
3,,,2,,,3,,,2,,,0,,,3,,,4,,,2,,,3,,,2,,,0,,,1,,,0,,,4,,,3,,,4,,,5,,,4,,,2,,,,47,,
1,,,1,,,-1,,,1,,,1,,,1,,,1,,,-1,,,1,,,-1,,,1,,,0,,,-1,,,4,,,3,,,4,,,4,,,1,,,5,,,,25,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,-2,,,4,,,4,,,3,,,4,,,3,,,4,,,3,,,3,,,3,,,3,,,4,,,,55,,
3,,,2,,,3,,,1,,,3,,,3,,,2,,,-1,,,3,,,0,,,3,,,0,,,4,,,4,,,3,,,4,,,5,,,5,,,2,,,,49,,
4,,,2,,,3,,,2,,,4,,,3,,,3,,,3,,,5,,,4,,,4,,,4,,,3,,,2,,,3,,,4,,,2,,,4,,,2,,,,61,,
4,,,2,,,3,,,2,,,2,,,2,,,3,,,2,,,4,,,4,,,2,,,4,,,2,,,4,,,3,,,4,,,3,,,2,,,1,,,,53,,
4,,,2,,,4,,,2,,,2,,,4,,,3,,,2,,,5,,,4,,,4,,,4,,,3,,,4,,,3,,,4,,,4,,,4,,,4,,,,66,,
4,,,3,,,4,,,3,,,2,,,4,,,2,,,2,,,4,,,3,,,4,,,4,,,4,,,4,,,3,,,4,,,4,,,5,,,3,,,,66,,
4,,,1,,,3,,,1,,,4,,,3,,,5,,,2,,,4,,,4,,,4,,,4,,,4,,,4,,,3,,,4,,,5,,,4,,,4,,,,67,,
4,,,-2,,,4,,,2,,,2,,,2,,,2,,,-2,,,-2,,,1,,,2,,,1,,,2,,,3,,,3,,,1,,,1,,,0,,,1,,,,25,,
4,,,1,,,3,,,2,,,0,,,4,,,3,,,-1,,,5,,,1,,,3,,,3,,,1,,,4,,,3,,,4,,,5,,,5,,,5,,,,55,,
4,,,1,,,2,,,1,,,3,,,3,,,1,,,1,,,2,,,2,,,2,,,-1,,,1,,,4,,,2,,,4,,,3,,,2,,,2,,,,39,,
3,,,2,,,3,,,1,,,3,,,4,,,2,,,1,,,2,,,4,,,3,,,4,,,5,,,4,,,3,,,3,,,4,,,4,,,3,,,,58,,
3,,,1,,,3,,,1,,,3,,,3,,,3,,,0,,,4,,,4,,,4,,,3,,,5,,,3,,,1,,,4,,,4,,,3,,,3,,,,55,,
4,,,1,,,3,,,2,,,3,,,3,,,2,,,1,,,4,,,3,,,4,,,4,,,4,,,4,,,3,,,3,,,4,,,5,,,3,,,,60,,
4,,,3,,,3,,,4,,,4,,,4,,,3,,,3,,,3,,,3,,,5,,,2,,,5,,,4,,,3,,,2,,,5,,,3,,,4,,,,67,,
4,,,2,,,3,,,3,,,3,,,3,,,3,,,3,,,5,,,4,,,3,,,4,,,5,,,4,,,3,,,4,,,4,,,4,,,2,,,,66,,
4,,,1,,,4,,,1,,,4,,,3,,,4,,,-1,,,1,,,1,,,0,,,1,,,2,,,3,,,2,,,4,,,2,,,4,,,4,,,,44,,
4,,,2,,,3,,,1,,,3,,,3,,,2,,,0,,,2,,,4,,,5,,,1,,,4,,,4,,,3,,,4,,,5,,,5,,,5,,,,60,,
4,,,1,,,4,,,1,,,4,,,3,,,3,,,2,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,3,,,3,,,5,,,,66,,
3,,,3,,,3,,,3,,,3,,,3,,,3,,,-1,,,5,,,3,,,5,,,3,,,5,,,4,,,3,,,4,,,3,,,5,,,4,,,,64,,
3,,,1,,,3,,,2,,,3,,,3,,,2,,,3,,,4,,,1,,,3,,,3,,,3,,,4,,,3,,,3,,,2,,,5,,,5,,,,56,,
4,,,1,,,2,,,1,,,4,,,4,,,4,,,-1,,,4,,,4,,,1,,,4,,,4,,,4,,,3,,,4,,,3,,,3,,,2,,,,55,,
3,,,3,,,3,,,1,,,1,,,3,,,3,,,-3,,,1,,,1,,,3,,,1,,,-1,,,4,,,3,,,3,,,5,,,4,,,3,,,,41,,
4,,,3,,,2,,,2,,,2,,,3,,,2,,,1,,,4,,,4,,,4,,,4,,,4,,,3,,,3,,,4,,,4,,,4,,,4,,,,61,,
4,,,3,,,3,,,2,,,3,,,3,,,4,,,0,,,-1,,,3,,,3,,,4,,,3,,,3,,,1,,,3,,,5,,,2,,,1,,,,49,,
4,,,3,,,3,,,2,,,4,,,4,,,2,,,2,,,5,,,4,,,5,,,4,,,5,,,4,,,3,,,4,,,4,,,4,,,1,,,,67,,
4,,,3,,,3,,,3,,,1,,,4,,,2,,,-1,,,2,,,2,,,3,,,4,,,4,,,3,,,3,,,3,,,3,,,1,,,0,,,,47,,
4,,,1,,,4,,,2,,,3,,,4,,,2,,,3,,,5,,,4,,,4,,,4,,,5,,,4,,,3,,,4,,,5,,,3,,,2,,,,66,,
4,,,1,,,2,,,2,,,2,,,3,,,2,,,2,,,4,,,3,,,3,,,4,,,5,,,4,,,3,,,4,,,3,,,5,,,3,,,,59,,
4,,,3,,,3,,,3,,,3,,,3,,,3,,,-1,,,5,,,3,,,2,,,2,,,1,,,4,,,2,,,3,,,3,,,2,,,3,,,,51,,
4,,,-1,,,3,,,3,,,3,,,3,,,2,,,3,,,5,,,3,,,2,,,4,,,5,,,4,,,3,,,4,,,5,,,3,,,3,,,,61,,
4,,,2,,,3,,,2,,,2,,,4,,,2,,,-1,,,2,,,1,,,4,,,1,,,3,,,3,,,1,,,3,,,4,,,4,,,4,,,,48,,
3,,,2,,,3,,,2,,,1,,,3,,,3,,,1,,,2,,,1,,,1,,,1,,,2,,,2,,,2,,,4,,,5,,,5,,,3,,,,46,,
3,,,2,,,4,,,3,,,4,,,4,,,5,,,2,,,5,,,4,,,5,,,4,,,5,,,4,,,3,,,4,,,4,,,5,,,3,,,,73,,
4,,,2,,,3,,,2,,,2,,,3,,,2,,,1,,,2,,,2,,,3,,,3,,,3,,,4,,,3,,,4,,,3,,,3,,,3,,,,52,,
4,,,3,,,3,,,1,,,4,,,3,,,3,,,-1,,,4,,,4,,,3,,,3,,,3,,,4,,,3,,,3,,,5,,,5,,,5,,,,62,,
4,,,3,,,3,,,1,,,3,,,4,,,3,,,2,,,5,,,4,,,3,,,3,,,5,,,4,,,2,,,4,,,4,,,4,,,3,,,,64,,
4,,,1,,,3,,,2,,,1,,,3,,,3,,,0,,,2,,,1,,,4,,,1,,,2,,,4,,,3,,,4,,,5,,,3,,,3,,,,49,,
4,,,3,,,4,,,4,,,3,,,3,,,3,,,0,,,1,,,-1,,,2,,,2,,,2,,,3,,,3,,,4,,,5,,,5,,,3,,,,53,,
3,,,2,,,2,,,2,,,2,,,2,,,2,,,3,,,5,,,3,,,5,,,3,,,5,,,4,,,3,,,3,,,3,,,4,,,3,,,,59,,
4,,,2,,,3,,,2,,,3,,,4,,,5,,,-2,,,1,,,2,,,4,,,0,,,0,,,4,,,3,,,4,,,3,,,3,,,3,,,,48,,
4,,,0,,,1,,,2,,,3,,,3,,,2,,,1,,,4,,,3,,,3,,,4,,,4,,,4,,,3,,,2,,,4,,,3,,,3,,,,53,,
3,,,2,,,3,,,1,,,3,,,3,,,2,,,0,,,1,,,3,,,3,,,1,,,0,,,4,,,3,,,4,,,5,,,4,,,3,,,,48,,
4,,,0,,,2,,,2,,,4,,,3,,,2,,,0,,,2,,,0,,,3,,,1,,,-1,,,4,,,1,,,3,,,4,,,1,,,2,,,,37,,
3,,,1,,,2,,,2,,,1,,,2,,,2,,,-2,,,0,,,3,,,1,,,0,,,1,,,4,,,3,,,4,,,5,,,4,,,3,,,,39,,
4,,,2,,,4,,,3,,,2,,,4,,,1,,,1,,,2,,,1,,,3,,,3,,,1,,,4,,,2,,,4,,,3,,,4,,,1,,,,49,,
4,,,1,,,3,,,1,,,3,,,4,,,5,,,1,,,3,,,4,,,3,,,0,,,1,,,4,,,3,,,3,,,5,,,4,,,4,,,,56,,
4,,,2,,,2,,,4,,,2,,,3,,,2,,,1,,,1,,,2,,,3,,,1,,,1,,,3,,,1,,,3,,,4,,,3,,,2,,,,44,,
4,,,2,,,3,,,2,,,3,,,3,,,2,,,1,,,5,,,3,,,5,,,4,,,5,,,4,,,3,,,4,,,4,,,5,,,4,,,,66,,
4,,,1,,,3,,,2,,,0,,,3,,,4,,,0,,,1,,,0,,,0,,,2,,,-1,,,4,,,3,,,2,,,5,,,4,,,2,,,,39,,
3,,,-1,,,1,,,3,,,-1,,,3,,,3,,,1,,,3,,,2,,,4,,,3,,,5,,,4,,,3,,,4,,,4,,,4,,,5,,,,53,,
4,,,3,,,3,,,2,,,3,,,3,,,2,,,2,,,5,,,4,,,5,,,4,,,5,,,4,,,3,,,4,,,3,,,5,,,3,,,,67,,
3,,,1,,,4,,,3,,,3,,,3,,,2,,,3,,,4,,,4,,,2,,,2,,,2,,,4,,,3,,,3,,,3,,,4,,,3,,,,56,,
4,,,3,,,4,,,3,,,3,,,4,,,4,,,3,,,1,,,3,,,3,,,0,,,2,,,4,,,3,,,4,,,3,,,3,,,4,,,,58,,
4,,,2,,,3,,,3,,,3,,,3,,,3,,,1,,,2,,,0,,,2,,,2,,,2,,,4,,,3,,,4,,,5,,,4,,,3,,,,53,,
